Country,Product,Type,Price,Alcohol_Content
Australia,TROEGS HOPBACK ALE 4/6 NR - 12OZ,BEER,20,4.50
Australia,DOGFISH HEAD 120 MIN IPA 6/4 NR - 12OZ,BEER,20,4.50
Australia,CUSQUENA BEER-PERU 4/6 NR - 12OZ,BEER,20,4.50
Australia,TROEGS TROEGENATOR DOUBLE 4/6 NR - 12OZ,BEER,20,4.50
Australia,HEAVY SEAS POWDER MONKEY P/A 4/6 NR - 12OZ,BEER,20,4.50
Australia,MIKES LEMONADE 4/6 NR - 11.2OZ,BEER,20,4.50
Australia,ROGUE DEAD GUY ALE 4/6 NR - 12OZ,BEER,20,4.50
Australia,HEINEKEN DRAFT KEG CAN - 5L,BEER,20,4.50
Australia,ROGUE MOCHA PORTER 4/6 NR - 12OZ,BEER,20,4.50
Australia,TWISTED TEA 4/6 NR - 12OZ,BEER,20,4.50
Australia,COOPERS PALE ALE 4/6 NR - 12OZ,BEER,20,4.50
Australia,ABITA PURPLE HAZE 4/6 NR - 12OZ,BEER,20,4.50
Canada,ABITA TURBO DOG 4/6 NR - 12OZ,BEER,20,4.50
Canada,ABITA AMBER 4/6 NR - 12OZ,BEER,21,4.50
Canada,HEAVY SEAS DOUBLE CANNON 4/6NR - 12OZ,BEER,21,4.50
Canada,MOLSON XXX 4/6 NR - 12OZ,BEER,21,4.50
Canada,SARANAC PALE ALE 4/6 NR - 12OZ,BEER,21,4.50
Canada,VERDI SPUMANTE MB NR - 25.4OZ,BEER,21,4.50
Canada,YUENGLING LAGER LOOSE NR - 12OZ,BEER,21,4.50
Canada,SAM ADAMS BOSTON LAGER 2/12NR - 12OZ,BEER,21,4.50
Canada,VERDI SPUMANTE MB 4/6NR - 187ML,BEER,21,4.50
Canada,YUENGLING LAGER 4/6 NR - 12OZ,BEER,21,4.50
Canada,YUENGLING BLACK & TAN 4/6 NR - 12OZ,BEER,21,4.50
Canada,YUENGLING LIGHT 4/6 NR - 12OZ,BEER,21,4.50
Canada,YUENGLING PORTER 4/6 NR - 12OZ,BEER,21,4.50
Canada,YUENGLING LAGER 2/12 NR - 12OZ,BEER,21,4.50
Canada,YUENGLING LIGHT 2/12 NR - 12OZ,BEER,21,4.50
Canada,HEAVY SEAS PEG LEG STOUT 4/6NR - 12OZ,BEER,21,4.50
Canada,FORDHAM COPPERHEAD ALE 4/6 NR - 12OZ,BEER,22,4.50
Canada,HEAVY SEAS WINTER STORM 4/6NR - 12OZ,BEER,22,4.50
Canada,SARANAC TRAIL MIX 4/6 NR - 12OZ,BEER,22,4.50
Canada,HEINEKEN 18PK NR - 12OZ,BEER,22,4.50
Canada,MILLER LITE 2/12 LNNR - 12OZ,BEER,22,4.50
Canada,OMMEGANG ABBEY ALE NR - 25.4OZ,BEER,22,4.50
Canada,OMMEGANG HENNEPIN FARMHOUSE ALE 25.4 NRNEPIN FARMHOUSE ALE NR - 25.4OZ,BEER,22,4.50
Canada,OMMEGANG 3 PHILOSOPHERS NR - 25.4OZ,BEER,22,4.50
Canada,BLUE MOON 4/6 NR - 12OZ,BEER,22,4.50
Canada,ORKNEY DRAGONHEAD STOUT NR 12/CS - 16.9OZ,BEER,22,4.50
Canada,REDHOOK ESB 4/6NR - 12OZ,BEER,22,4.50
Canada,REDHOOK LONGHAMMER IPA 4/6NR - 12OZ,BEER,22,4.50
Canada,DUTCHESS DE BOURGOGNE 4/6NR - 11OZ,BEER,22,4.50
Canada,MAGIC HAT #9 4/6 NR - 12OZ,BEER,22,4.50
Canada,FLYING DOG PALE ALE NR - 12OZ,BEER,22,4.50
Canada,SUPERBOCK BEER 4/6NR - 11.2OZ,BEER,22,4.50
Canada,BROOKLYN EAST IPA 4/6 NR - 12OZ,BEER,22,4.50
Canada,SMITHWICKS 4/6 NR - 12OZ,BEER,22,4.50
Canada,SMUTTYNOSE OLD BRN DOG ALE 4/6NR - 12OZ,BEER,22,4.50
Canada,YUENGLING LAGER LOOSE CAN - 12OZ,BEER,22,4.50
Canada,ROGUE HAZELNUT NR - 22OZ,BEER,22,4.50
Canada,BUD 30PK CAN - 12OZ,BEER,22,4.50
Canada,OMMEGANG ABBEY ALE 6/4PK NR - 12OZ,BEER,22,4.50
Canada,OMMEGANG HENNEPIN FARMHOUSE ALE 4/6 12.OZ NR,BEER,22,4.50
Canada,OMMEGANG 3 PHILOSOPHERS 4/6NR - 12OZ,BEER,22,4.50
USA,YOUNGS DBL CHO STOUT NR 12/CS - 16.9OZ,BEER,22,4.50
USA,DUVEL 6/4 NR - 11OZ,BEER,22,4.50
USA,MENABREA BEER 4/6NR - 11.2OZ,BEER,22,4.50
USA,YOUNG'S DBL CHOC STOUT 6/4 CANS - 14.9OZ,BEER,22,4.50
USA,FLYING DOG SNAKE DOG 4/6 NR - 12OZ,BEER,22,4.50
USA,DELIRIUM TREMENS NR - 25.4OZ,BEER,22,4.50
USA,MODELO ESPECIAL 4/6 NR - 12OZ,BEER,22,4.50
USA,DELIRIUM NOCTURNUM NR - 25.4OZ,BEER,22,4.50
USA,GUINNESS DRAFT 4/6NR - 11.2OZ,BEER,22,4.50
USA,S SMITH OATMEAL STOUT NR 12/CS - 18.7OZ,BEER,22,4.50
USA,ORKNEY SKULLSPLITTER ALE 6/4NR - 11.2OZ,BEER,22,4.50
USA,HEAVY SEAS CUTLASS AMBER LGR 4/6NR - 12OZ,BEER,22,4.50
USA,ZYWIEC 4/6NR - 11.2OZ,BEER,22,4.50
USA,GOLDEN PHEASANT 4/6 NR - 12OZ,BEER,22,4.50
USA,UNIBROUE LA FIN DU MONDE 6/4 12.OZ NR,BEER,22,4.50
USA,SAM ADAMS COLD SNAP 2/12 NR,BEER,22,4.50
USA,SAM ADAMS BOHEMIAN PILSNER 4/6NR - 12OZ,BEER,22,4.50
USA,FLYING DOG K-9 WINTER WARMER  4/6 NR - 12OZ,BEER,22,4.50
USA,MICHELOB ULTRA 4/6 NR - 12OZ,BEER,22,4.50
USA,DUVEL NR - 25.4OZ,BEER,22,4.50
USA,NATURAL LT-30PK CAN - 12OZ,BEER,22,4.50
USA,HEINEKEN 4/6NR - 7OZ,BEER,22,4.50
USA,FLYING DOG VARIETY PACK 2/12 NR - 12OZ,BEER,22,4.50
USA,MIKES HARD BLACK CHERRY 4/6NR - 11.2OZ,BEER,22,4.50
USA,UNIBROUE TERRIBLE 12/750ML,BEER,22,4.50
USA,SHINER BOCK 4/6 LN - 12OZ,BEER,22,4.50
USA,DOGFISH HEAD INDIAN BROWN 4/6NR - 12OZ,BEER,22,4.50
USA,SAM ADAMS WINTERLAGER 2/12 LN - 12OZ,BEER,22,4.50
USA,HEAVY SEAS GOLD ALE 4/6NR - 12OZ,BEER,22,4.50
USA,BUD 2/12 LNNR - 12OZ,BEER,22,4.50
USA,BUD LIGHT 2/12 NR,BEER,22,4.50
USA,VICTORY LAGER 4/6NR - 12OZ,BEER,22,4.50
USA,ST.BERNARDUS ABT NR LOOSE - 11.2OZ,BEER,22,4.50
USA,ST.BERNARDUS TRIPLE NR - 25.4OZ,BEER,22,4.50
USA,AGUILA 4/6 NR - 12OZ,BEER,22,4.50
USA,HOEGAARDEN 4/6NR - 12OZ,BEER,22,4.50
USA,HEAVY SEAS AMERICANNON 4/6 NR,BEER,22,4.50
USA,KNOB CREEK BOURBON 9YR - 100P - 375ML,SPIRITS,30,25.00
USA,J W DANT BOURBON 100P - 1.75L,SPIRITS,30,25.00
USA,NOTEWORTHY SMALL BATCH BOURBON - 750ML,SPIRITS,30,25.00
USA,NOTEWORTHY SMALL BATCH RYE 750ML,SPIRITS,30,25.00
USA,NOTEWORTHY SMALL BATCH HONEY BBN 750,SPIRITS,30,25.00
USA,KNOB CREEK BOURBON 9YR - 100P - 1.75L,SPIRITS,30,25.00
USA,NINKASI SLEIGH'R 4/6NR,BEER,22,4.50
USA,FILLIBUSTER WIEDMAIER BOURBON - 750ML,SPIRITS,30,25.00
USA,OLD GRAND DAD BOURBON 100P - 750ML,SPIRITS,30,25.00
USA,HILLROCK DOUBLE CASK RYE - 750ML,SPIRITS,30,25.00
USA,LA CHAYA CAB/BONARDA - 750ML,WINE,18,12.00
USA,LA CHAYA MAL - 750ML,WINE,18,12.00
USA,LA CHAYA CAB - 750ML,WINE,18,12.00
USA,LA CHAYA TORRONTES - 750ML,WINE,18,12.00
USA,FEW BOURBON - 750ML,SPIRITS,30,25.00
USA,KOPPER KETTLE WHISKEY - 750ML,SPIRITS,30,25.00
USA,WILD TURKEY AMERICAN HONEY STING - 750ML,SPIRITS,30,25.00
USA,KINSEY BOURBON - 750ML,SPIRITS,30,25.00
